player_name,team,position,born,gp,g,a,p,shots,toi_seconds
Joel Edmundson,TOT,D,1993,13,0,2,2,9,1246
Justin Holl,TOR,D,1992,13,0,2,2,9,1117
Callan Foote,TBL,D,1998,13,0,2,2,8,689
Ryan Donato,SEA,F,1996,14,0,2,2,24,544
Kevin Rooney,NYR,F,1993,15,0,2,2,18,715
Kyle Okposo,FLA,F,1988,17,0,2,2,16,513
Morgan Barron,WPG,F,1998,18,0,2,2,26,737
Craig Smith,TOT,F,1989,21,0,2,2,27,686
Nico Sturm,TOT,F,1995,21,0,2,2,12,518
Colin White,FLA,F,1997,21,0,2,2,7,445
Luke Schenn,TOT,D,1989,27,0,2,2,30,992
Sergei Bobrovsky,FLA,G,1988,76,0,2,2,,
Mathieu Joseph,STL,F,1997,3,1,0,1,6,815
Tyler Tucker,STL,D,2000,3,1,0,1,4,863
Uvis Balinskis,FLA,D,1996,5,1,0,1,4,754
Kyle MacLean,NYI,F,1999,5,1,0,1,6,714
Emil Heineman,MTL,F,2001,5,1,0,1,4,544
Andreas Athanasiou,LAK,F,1994,6,1,0,1,8,861
Mark Friedman,PIT,D,1995,6,1,0,1,7,654
Zach Aston-Reese,TOR,F,1994,6,1,0,1,4,533
Ridly Greig,OTT,F,2002,6,1,0,1,9,1080
Kiefer Sherwood,NSH,F,1995,6,1,0,1,4,718
Luke Evangelista,NSH,F,2002,6,1,0,1,14,802
Brendan Lemieux,LAK,F,1996,7,1,0,1,12,500
Matthew Martin,NYI,F,1989,9,1,0,1,6,607
Mitchell Chaffee,TBL,F,1998,9,1,0,1,5,700
Cal Clutterbuck,NYI,F,1987,11,1,0,1,4,649
Matthew Rempe,NYR,F,2002,11,1,0,1,5,367
Zac Dalpe,FLA,F,1989,13,1,0,1,15,366
Tomas Tatar,NJD,F,1990,16,1,0,1,18,802
Patrik Laine,MTL,F,1998,2,0,1,1,6,702
Matthew Benning,NSH,D,1994,3,0,1,1,4,870
Alexandre Texier,STL,F,1999,3,0,1,1,2,722
Oliver Kapanen,MTL,F,2003,3,0,1,1,1,416
Luke Kunin,NSH,F,1997,4,0,1,1,2,793
Matthew Samoskevich,FLA,F,2002,4,0,1,1,6,679
Alexander Nikishin,CAR,D,2001,4,0,1,1,3,959
Conor Geekie,TBL,F,2004,4,0,1,1,3,742
Zeev Buium,MIN,D,2005,4,0,1,1,2,815
Jason Spezza,TOR,F,1983,5,0,1,1,6,483
David Savard,MTL,D,1990,5,0,1,1,2,698
Saku Mäenalanen,WPG,F,1994,5,0,1,1,3,510
Sean Monahan,WPG,F,1994,5,0,1,1,13,1101
Josh Anderson,MTL,F,1994,5,0,1,1,11,833
Andreas Englund,LAK,D,1996,5,0,1,1,0,784
Jake Evans,MTL,F,1996,5,0,1,1,4,930
Paul Cotter,NJD,F,1999,5,0,1,1,5,865
Sam Malinski,COL,D,1998,5,0,1,1,9,840
Kevin Shattenkirk,BOS,D,1989,6,0,1,1,4,776
Sebastian Aho,NYI,D,1996,6,0,1,1,5,947
Louis Domingue,PIT,G,1992,6,0,1,1,,
Conor Sheary,WSH,F,1992,6,0,1,1,12,1023
Artyom Zub,OTT,D,1995,6,0,1,1,3,1356
Samuel Helenius,LAK,F,2002,6,0,1,1,1,237
Taylor Raddysh,WSH,F,1998,7,0,1,1,6,670
Parker Kelly,COL,F,1999,7,0,1,1,6,757
Zachary Bolduc,STL,F,2003,7,0,1,1,7,797
Tanner Pearson,VGK,F,1992,8,0,1,1,6,529
Ryan Leonard,WSH,F,2005,8,0,1,1,12,608
Vitek Vanecek,TOT,G,1996,9,0,1,1,,
Jeremy Lauzon,NSH,D,1997,9,0,1,1,6,1080
Logan Stanley,WPG,D,1998,9,0,1,1,3,647
Alexander Romanov,NYI,D,2000,9,0,1,1,8,1227
Ben Chiarot,FLA,D,1991,10,0,1,1,17,1037
Jon Merrill,MIN,D,1992,10,0,1,1,11,936
Sam Carrick,EDM,F,1992,10,0,1,1,4,554
Mackenzie Weegar,FLA,D,1994,10,0,1,1,26,1277
Ryan Graves,NJD,D,1995,10,0,1,1,9,1188
Emil Martinsen Lilleberg,TBL,D,2001,10,0,1,1,6,881
Kevin Bahl,NJD,D,2000,11,0,1,1,9,810
Rasmus Sandin,WSH,D,2000,11,0,1,1,12,1275
Milan Lucic,CGY,F,1988,12,0,1,1,4,562
Tyler Myers,VAN,D,1990,12,0,1,1,7,1169
Erik Gudbranson,CGY,D,1992,12,0,1,1,22,1082
Dillon Dube,CGY,F,1998,12,0,1,1,23,858
Nils Lundkvist,DAL,D,2000,12,0,1,1,4,267
Josh Archibald,EDM,F,1992,13,0,1,1,9,567
Timothy Liljegren,TOR,D,1999,13,0,1,1,3,1026
Connor Dewar,TOT,F,1999,13,0,1,1,13,674
Derek Stepan,CAR,F,1990,14,0,1,1,24,674
Alexander Alexeyev,WSH,D,1999,14,0,1,1,8,775
Robert Bortuzzo,TOT,D,1989,15,0,1,1,2,696
Mike Smith,EDM,G,1982,16,0,1,1,,
Linus Ullmark,TOT,G,1993,16,0,1,1,,
Jacob Markström,TOT,G,1990,17,0,1,1,,
Lian Bichsel,DAL,D,2004,18,0,1,1,12,707
Justin Braun,NYR,D,1987,19,0,1,1,7,760
Pontus Holmberg,TOR,F,1999,19,0,1,1,17,740
Joel Hanley,DAL,D,1991,20,0,1,1,10,755
Darcy Kuemper,TOT,G,1990,22,0,1,1,,
Ryan Reaves,TOT,F,1987,29,0,1,1,17,538
Stuart Skinner,EDM,G,1998,50,0,1,1,,
Jake Oettinger,DAL,G,1998,63,0,1,1,,
Joe Thornton,FLA,F,1979,1,0,0,0,0,378
Derick Brassard,EDM,F,1987,1,0,0,0,0,492
Kyle Clifford,TOR,F,1991,1,0,0,0,0,49
Calvin de Haan,TBL,D,1991,1,0,0,0,0,650
Martin Jones,SEA,G,1990,1,0,0,0,,
Brad Hunt,COL,D,1988,1,0,0,0,0,41
Thatcher Demko,VAN,G,1995,1,0,0,0,,
Steve Santini,STL,D,1995,1,0,0,0,0,188
Vince Hinostroza,MIN,F,1994,1,0,0,0,1,717
Matt Murray,TOR,G,1994,1,0,0,0,,
Patrick Brown,BOS,F,1992,1,0,0,0,0,507
Pheonix Copley,LAK,G,1992,1,0,0,0,,
Tristan Jarry,PIT,G,1995,1,0,0,0,,
Daniel Vladar,CGY,G,1997,1,0,0,0,,
Kyle Capobianco,WPG,D,1997,1,0,0,0,1,782
Zack MacEwen,LAK,F,1996,1,0,0,0,0,404
Matthew Highmore,OTT,F,1996,1,0,0,0,1,550
Maxime Comtois,CAR,F,1999,1,0,0,0,0,379
Givani Smith,FLA,F,1998,1,0,0,0,2,325
Brett Leason,WSH,F,1999,1,0,0,0,0,497
Brayden Pachal,VGK,D,1999,1,0,0,0,0,705
Erik Källgren,TOR,G,1996,1,0,0,0,,
Cal Petersen,LAK,G,1994,1,0,0,0,,
Grigory Denisenko,FLA,F,2000,1,0,0,0,0,357
Kaedan Korczak,VGK,D,2001,1,0,0,0,1,784
Jesper Frödén,SEA,F,1994,1,0,0,0,0,249
Ruslan Iskhakov,NYI,F,2000,1,0,0,0,0,358
Cole Schwindt,VGK,F,2001,1,0,0,0,0,354
Karson Kuhlman,WPG,F,1995,1,0,0,0,1,615
Vinny Iorio,WSH,D,2002,1,0,0,0,0,110
Juuso Pärssinen,NSH,F,2001,1,0,0,0,1,911
Ivan Miroshnichenko,WSH,F,2004,1,0,0,0,2,571
Seamus Casey,NJD,D,2004,1,0,0,0,0,553
Wayne Simmonds,TOR,F,1988,2,0,0,0,0,332
Brad Malone,EDM,F,1989,2,0,0,0,0,465
Mark Borowiecki,NSH,D,1989,2,0,0,0,1,947
Rickard Rakell,PIT,F,1993,2,0,0,0,6,566
Casey Fitzgerald,FLA,D,1997,2,0,0,0,1,564
Jacob Moverare,LAK,D,1998,2,0,0,0,0,151
Josh Brown,TOT,D,1994,2,0,0,0,0,533
Noah Gregor,TOR,F,1998,2,0,0,0,1,484
Axel Jonsson Fjällby,WPG,F,1998,2,0,0,0,0,363
Nikolai Kovalenko,COL,F,1999,2,0,0,0,1,408
Noah Juulsen,VAN,D,1997,2,0,0,0,1,774
Lucas Johansen,WSH,D,1997,2,0,0,0,2,840
Dominic Toninato,WPG,F,1994,2,0,0,0,0,526
Fredrik Olofsson,DAL,F,1996,2,0,0,0,5,618
Dennis Cholowski,NJD,D,1998,2,0,0,0,2,539
Samuel Bolduc,NYI,D,2000,2,0,0,0,2,419
Linus Karlsson,VAN,F,1999,2,0,0,0,0,594
Drew O'Connor,PIT,F,1998,2,0,0,0,0,340
Jayden Struble,MTL,D,2001,2,0,0,0,1,738
Alexander Radulov,DAL,F,1986,3,0,0,0,2,584
